ID,Namespace,Type,Member
2313c9a2cc1ddbf414382c354314af3a,Microsoft.AspNetCore.Mvc.TagHelpers,ScriptTagHelper,SuppressFallbackIntegrity.get
eabfc24f79fc0f7f08e89f3982a124d0,Microsoft.AspNetCore.Mvc.TagHelpers,ScriptTagHelper,SuppressFallbackIntegrity.set
1b4df3f9dc39e9f14e2fac78ac85bc8f,Microsoft.AspNetCore.Mvc.TagHelpers,ScriptTagHelper,"ScriptTagHelper(IHostingEnvironment, TagHelperMemoryCacheProvider, IFileVersionProvider, HtmlEncoder, JavaScriptEncoder, IUrlHelperFactory)"
2dfda9492d4f4144264af24c02c6bb71,Microsoft.AspNetCore.Http,ResponseTrailerExtensions,
94bb9d837a116e8cb9f7e688ed229cf1,Microsoft.AspNetCore.Http,ResponseTrailerExtensions,"DeclareTrailer(HttpResponse, String)"
a146b47cd9a43591ab8b014b7eca6787,Microsoft.AspNetCore.Http,ResponseTrailerExtensions,SupportsTrailers(HttpResponse)
5fbca02f97fd60cc1619cf94c1a7121b,Microsoft.AspNetCore.Http,ResponseTrailerExtensions,"AppendTrailer(HttpResponse, String, StringValues)"
cd2c01ae847b8e8fe27019779e5d7688,Microsoft.AspNetCore.Http,Endpoint,
96b0ee21dd93986799e4c68751ce5a17,Microsoft.AspNetCore.Http,Endpoint,"Endpoint(RequestDelegate, EndpointMetadataCollection, String)"
92506505c3a8919eb1d02912bd4a54d5,Microsoft.AspNetCore.Http,Endpoint,DisplayName
6f05e998d47992b88d64dc711dd89333,Microsoft.AspNetCore.Http,Endpoint,DisplayName.get
9c557b6572ce0575ca0521f4d04226bb,Microsoft.AspNetCore.Http,Endpoint,Metadata
9712f4fcba180a8e2b81dd2eb8128a86,Microsoft.AspNetCore.Http,Endpoint,Metadata.get
d66545d2051bddb717c1cf92fbb156a5,Microsoft.AspNetCore.Http,Endpoint,RequestDelegate
a021e30c13e35641ff29fe9a772041bb,Microsoft.AspNetCore.Http,Endpoint,RequestDelegate.get
36563e1e78322c6fa95e6b21b53395bf,Microsoft.AspNetCore.Http,EndpointMetadataCollection,
a9929d6517482ec7962d9d40653d83e2,Microsoft.AspNetCore.Http,EndpointMetadataCollection,Empty
6d94ba56d0b3f85becf88c780cae93a3,Microsoft.AspNetCore.Http,EndpointMetadataCollection,EndpointMetadataCollection(IEnumerable<Object>)
0124a2e4cb1d2b6c03d671f5eec8283b,Microsoft.AspNetCore.Http,EndpointMetadataCollection,EndpointMetadataCollection(Object[])
fd27cb7534d27dd506c4f3a4ef3f456c,Microsoft.AspNetCore.Http,EndpointMetadataCollection,GetMetadata<T>()
1a8a6212597d643f1ca1bc0275604d6c,Microsoft.AspNetCore.Http,EndpointMetadataCollection,GetOrderedMetadata<T>()
5c814fb5f4bacf026b207481108c5977,Microsoft.AspNetCore.Http,EndpointMetadataCollection,GetEnumerator()
ade4da338c7cd185d58ce0e0c641e6d8,Microsoft.AspNetCore.Http,EndpointMetadataCollection,this[Int32]
b2f92c0cc1a6784fcd88ec7cbc47f151,Microsoft.AspNetCore.Http,EndpointMetadataCollection,this[Int32].get
2c35e638d99a09d372e93cbcc4090fdc,Microsoft.AspNetCore.Http,EndpointMetadataCollection,Count
bc7c6d2a681f77f67a11eaabfcae105c,Microsoft.AspNetCore.Http,EndpointMetadataCollection,Count.get
